gene	score	normalized_score
ASPM	65.53173826699695	87.23255829429156
TTLL5	65.52843473699696	87.22816080109327
KCNJ13	65.52843473699696	87.22816080109327
ASH1L	65.52710748699695	87.2263940325616
CYBC1	65.52578023699695	87.2246272640299
SHOX	65.52578023699695	87.2246272640299
DNAL4	65.52013747699695	87.21711590535611
POR	65.52013747699695	87.21711590535611
CYP27A1	65.51844828699696	87.21486734047686
ATG5	65.51536144799695	87.21075829545326
FSCN2	65.50233034699696	87.19341194835974
XYLT2	65.49996627699696	87.19026501712396
DMRT3	65.47164232699696	87.15256159760789
CYTB	65.47164232699696	87.15256159760789
FAM149B1	65.46611746699696	87.14520718149193
ASXL1	65.45471105699697	87.1300235414487
LIN28B	65.45101973699697	87.12510984168125
SC5D	65.45101973699697	87.12510984168125
IFNG	65.43086384699696	87.09827933335205
ITK	65.40894539799696	87.06910259501616
DIS3L2	65.40894539799696	87.06910259501616
PCCA	65.35758021699696	87.00072784616357
VPS11	65.35625296699696	86.9989610776319
NDUFAF5	65.31263826599697	86.94090337844546
NHLRC1	65.31131101599696	86.93913660991377
CPT1C	64.29295898599696	85.58355753982792
TBC1D23	64.29295898599696	85.58355753982792
CEP83	64.28787233599695	85.57678644685247
LOXHD1	64.28787233599695	85.57678644685247
FGF9	64.28787233599695	85.57678644685247
SELENON	64.28459364599695	85.57242201941445
GABBR2	64.27203759499695	85.55570803501895
AARS2	64.24731586999695	85.52279971648159
KIF2A	64.24487087999695	85.51954506860646
MAPT	64.24354362999695	85.51777830007478
ATP2B2	64.22905551999696	85.49849245578666
CDCA7	64.22905551999696	85.49849245578666
SAMD9L	64.22404111899696	85.49181753705093
VEGFC	64.21622861899696	85.48141792947608
PAK1	64.21552931799697	85.48048705511107
AKT1	64.19206758799697	85.44925597862762
INS	64.17104888799697	85.42127694096575
YARS2	64.14502103599698	85.3866299717733
TAF6	64.14502103599698	85.3866299717733
TBX2	64.13868591499698	85.37819697691388
FZD4	64.13800051399699	85.37728460553068
COX20	64.13800051399699	85.37728460553068
QDPR	64.13469698399699	85.37288711233238
PEPD	64.12132153399699	85.35508238514686
GATA6	64.12063613299699	85.35417001376364
POU1F1	64.11170119299699	85.34227627044142
ERMARD	64.10604494299699	85.33474695455723
ELOVL1	64.09101649299699	85.31474183680258
ATPAF2	64.09101649299699	85.31474183680258
FHL1	64.084681371997	85.30630884194318
TMEM199	64.082077201997	85.30284230164774
SGCG	64.081391800997	85.30192993026452
AIPL1	64.081391800997	85.30192993026452
POMGNT2	64.080064550997	85.30016316173284
TCTN2	64.076761020997	85.29576566853454
LIMK1	64.064873900997	85.27994213148557
GDNF	64.048079830997	85.25758670907476
SPINT2	64.04428766199699	85.2525387641842
GCSH	64.04428766199699	85.2525387641842
LMX1B	64.04364581299699	85.25168436703574
CDK10	64.03988641299698	85.24668004259196
EOGT	64.03190173299699	85.2360512376498
CTU2	64.02120720399698	85.22181521783568
C11ORF95	64.02056535499698	85.22096082068722
FTCD	64.01877275599698	85.21857460294142
ZNF592	64.01877275599698	85.21857460294142
PCNA	64.01615462699698	85.21508948112636
RLIM	64.00765672599698	85.2037775021683
WNT10A	63.99237537399699	85.18343573397462
KCTD1	63.99237537399699	85.18343573397462
IFRD1	63.99237537399699	85.18343573397462
IL4R	63.99237537399699	85.18343573397462
GRN	63.99237537399699	85.18343573397462
POLG2	63.97335378399699	85.15811514882908
VDR	63.972026533996996	85.1563483802974
GPR35	63.86889950399699	85.01907085807542
LNPK	63.86889950399699	85.01907085807542
PRKAG2	63.858313112996996	85.0049787861351
MKRN3	63.857671263997	85.00412438898665
LMNA	63.854367733997	84.99972689578836
PRX	63.839977333997005	84.9805711181442
ELOVL5	63.838001053997004	84.97794039347757
RELT	63.83730175299701	84.97700951911256
CCDC65	63.83730175299701	84.97700951911256
COL11A1	63.83730175299701	84.97700951911256
NOD2	63.82736563299701	84.96378305526405
TBX1	63.82682392099701	84.96306195546006
AKT2	63.79160630899701	84.9161820393611
TRMT10A	63.738332859997016	84.84526710000003
CCDC174	63.73571473099702	84.84178197818495
TRAF3IP2	63.723665729997016	84.82574295328013
SCN1A	63.72302388099702	84.82488855613167
LRPPRC	62.93681209299703	83.77832291569439
CERKL	62.933120772997036	83.77340921592695
WDPCP	62.93075670299704	83.77026228469119
VPS33A	62.92250281299704	83.75927512091954
FBXO11	62.91945334199704	83.75521581830056
C8ORF37	62.90317622199705	83.73354853376314
RELB	62.89255826199705	83.71941443875573
SGCE	62.89255826199705	83.71941443875573
ALG11	62.89255826199705	83.71941443875573
TRPC3	62.83567541199706	83.6436948460852
TUBB	62.82786291199706	83.63329523851034
SMC3	62.82087223099706	83.623989595108
NEBL	62.81061657099706	83.6103377756621
TSHZ1	62.81061657099706	83.6103377756621
RPGR	62.81061657099706	83.6103377756621
PAX3	62.808252500997064	83.60719084442634
DCAF8	62.794355850997064	83.5886923219809
ADCY3	62.794355850997064	83.5886923219809
AHSG	62.794355850997064	83.5886923219809
AIMP2	62.787990321997064	83.5802188495193
HIBCH	62.770490712997066	83.55692424903121
OCA2	62.73915382299707	83.51521015512834
CUX2	62.73915382299707	83.51521015512834
ATXN8	62.424228201997074	83.09599698729937
PIGG	62.416415701997074	83.08559737972452
TUBA1A	62.215088451997076	82.81760065727684
MEF2C	62.21247032299708	82.81411553546177
NAXE	62.19848859399708	82.79550376012509
RETREG1	62.19784674499708	82.79464936297664
OPN1MW	62.19784674499708	82.79464936297664
PRDX1	62.19784674499708	82.79464936297664
MFN2	62.196519494997084	82.79288259444496
MAT2A	62.189233774997085	82.78318420994573
C1R	62.189233774997085	82.78318420994573
EYA4	62.17849092599709	82.76888386897477
PTPN22	62.17849092599709	82.76888386897477
TMC1	62.176956131997095	82.76684082829532
EFEMP2	62.176956131997095	82.76684082829532
EPB41L1	62.172662771997096	82.7611257231206
ADAR	62.172662771997096	82.7611257231206
DLST	62.1713355219971	82.75935895458892
SCN3A	62.1713355219971	82.75935895458892
NUTM1	62.14366053199711	82.7225193980273
CNBP	62.14366053199711	82.7225193980273
WWOX	62.14366053199711	82.7225193980273
FDXR	62.11400926199711	82.68304911679905
SRP54	62.11400926199711	82.68304911679905
NDUFA9	62.11217311099711	82.6806049248185
DOK7	62.108400870997116	82.6755835084117
PNKP	62.10226590099712	82.66741694450982
DRD4	61.735413930997126	82.17908202917435
IRF3	61.735413930997126	82.17908202917435
ITGB6	61.73477208199713	82.17822763202591
SLC12A6	61.72840655299713	82.16975415956429
ERBB2	61.72029396299713	82.15895508725511
ACADSB	61.72029396299713	82.15895508725511
ESR1	61.716990432997136	82.15455759405681
GP9	61.716990432997136	82.15455759405681
NFKB1	61.71634858399714	82.15370319690835
RYR1	61.71634858399714	82.15370319690835
DSG2	61.70096311399714	82.13322283206298
CEP19	61.70096311399714	82.13322283206298
RSPRY1	61.70096311399714	82.13322283206298
IFITM5	61.69898683399714	82.13059210739635
FOXP1	61.69898683399714	82.13059210739635
PTPN2	61.66653839399714	82.08739837396712
STN1	61.66653839399714	82.08739837396712
ALPL	61.66653839399714	82.08739837396712
ABCB6	61.665896544997146	82.08654397681867
YY1	61.665896544997146	82.08654397681867
SACS	61.66091778399715	82.07991650026074
AMBN	61.65240598299715	82.06858601832087
TRMT10C	61.65240598299715	82.06858601832087
PITX3	61.65240598299715	82.06858601832087
COL6A1	61.65240598299715	82.06858601832087
MRE11	61.64667030299715	82.0609509692105
GP6	61.63351240299715	82.04343583365733
REV3L	61.63351240299715	82.04343583365733
TGFA	61.61313443299714	82.01630970358731
KMT2C	61.61313443299714	82.01630970358731
RLBP1	61.61180718299715	82.01454293505564
AIRE	61.60944311299715	82.01139600381987
LZTFL1	61.60944311299715	82.01139600381987
TBXT	61.59722513199715	81.995132041227
CD247	61.59722513199715	81.995132041227
F13B	61.59722513199715	81.995132041227
EXOSC9	61.59722513199715	81.995132041227
RSPO1	61.59589788199715	81.99336527269531
DDHD2	61.59589788199715	81.99336527269531
PPCS	61.595212480997155	81.9924529013121
HIC1	61.595212480997155	81.9924529013121
TRNQ	61.59212564199716	81.98834385628852
PDSS1	61.563584325997155	81.95035109007162
LYST	61.563584325997155	81.95035109007162
WNT4	61.560536849997156	81.9462944430964
GMPPB	61.557258159997154	81.94193001565839
NLRP12	61.550358889997156	81.93274605398761
DRD5	61.550358889997156	81.93274605398761
PRLR	61.550358889997156	81.93274605398761
GATA1	61.550358889997156	81.93274605398761
LGI4	61.550358889997156	81.93274605398761
SPTLC1	61.54595764099716	81.92688733239541
RPS29	61.54595764099716	81.92688733239541
PEX26	61.54595764099716	81.92688733239541
MCM4	61.53536262999717	81.91278378594407
GLRX5	61.53467722899717	81.91187141456085
ERBB3	61.52507212999717	81.89908558924022
FERMT3	61.52507212999717	81.89908558924022
CCM2	61.52507212999717	81.89908558924022
SNRPB	61.52443028099717	81.89823119209177
EPCAM	61.52443028099717	81.89823119209177
PACS1	61.522637681997175	81.89584497434596
AGGF1	61.25656476199718	81.54166206819649
WDR19	61.25656476199718	81.54166206819649
LTBP4	61.25260067099718	81.53638526937524
PEX3	61.243245919997186	81.52393269473713
COL17A1	61.233806138997195	81.5113669324341
SMARCE1	61.233806138997195	81.5113669324341
DONSON	61.2301148189972	81.50645323266666
AKT3	61.2223913279972	81.49617210940166
ITGA3	61.221749478997204	81.4953177122532
IRF5	61.221749478997204	81.4953177122532
FUCA1	61.221749478997204	81.4953177122532
STAT6	61.22042222899721	81.49355094372154
SRP72	61.22042222899721	81.49355094372154
TRIP13	61.22042222899721	81.49355094372154
NRAS	61.216490808997214	81.48831763489443
CASQ2	61.16335395899721	81.41758452926071
EXT1	61.162712109997216	81.41673013211226
CSRP3	61.157069349997215	81.40921877343847
FGFRL1	61.157069349997215	81.40921877343847
PNPLA1	61.14548444999722	81.39379753647287
ABCA5	61.14548444999722	81.39379753647287
POMC	61.129692440997225	81.37277600733131
ALMS1	61.07706084099723	81.3027154651187
MCTP2	61.07573359099723	81.30094869658701
LINGO1	61.070646940997236	81.2941776036116
AMMECR1	61.06931969099724	81.29241083507992
NIPA1	61.06671552099724	81.28894429478447
RPS27	61.05939806199724	81.27920366092272
GIGYF2	61.05939806199724	81.27920366092272
IGF1	61.05939806199724	81.27920366092272
CDH23	61.05742178199724	81.27657293625609
RNF168	61.056094531997246	81.27480616772442
SIX1	61.05425838099725	81.27236197574386
ATP6AP1	61.05425838099725	81.27236197574386
ZNF341	61.05361653199725	81.2715075785954
MYF6	61.05361653199725	81.2715075785954
CXORF56	61.04748156199725	81.26334101469352
RSPO2	61.01570531099725	81.22104206549675
KLF13	61.01570531099725	81.22104206549675
SLFN14	61.00939628099725	81.21264380166599
ARL3	61.00939628099725	81.21264380166599
CHRM3	60.998904490997255	81.19867765782502
TXN2	60.995145090997255	81.19367333338126
FA2H	60.98829298099726	81.18455214873362
DPM3	60.94212627199726	81.123097344686
HARS1	60.93431377199726	81.11269773711116
AGT	60.92817880199726	81.10453117320928
FGF20	60.92817880199726	81.10453117320928
ANTXR1	60.92817880199726	81.10453117320928
NDUFB10	60.918786682997265	81.09202885616656
DDR2	60.91810128199727	81.09111648478334
TCTEX1D2	60.91741588099727	81.09020411340013
DSG4	60.914137190997266	81.0858396859621
OGDH	60.914137190997266	81.0858396859621
ATXN7	60.912882313997265	81.0841692567327
